Publish Date,Creation Date,Title,Status,Label Color,Label Name,Project Types,Project Owner,Description,Tags,Marketing Campaign,Link
16/10/2026,5/11/2025,MICC Project Launch,Not Started,FF0000,ONLY PUBLISH THIS,Blog post,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7596523
8/6/2026,4/11/2025,MICC Pilot Delivery (Exact Date TBD),Not Started,FF0000,ONLY PUBLISH THIS,Blog post,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7592542
7/4/2026,18/09/2025,Understanding PTSD module launch,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7411151
1/4/2026,4/11/2025,(TENTATIVE 2) Launch: Canadian Legacy Project (women's research) report,Not Started,FF0000,ONLY PUBLISH THIS,Promotion plan,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7593131
31/03/2026,13/11/2025,In her words - Daphne post,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad - Backup,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7632281
17/03/2026,25/02/2025,End-of-year survey reminder,Not Started,21FF00,PUBLISH ANYTHING,Promotion plan,Tactical Squad,,Operations,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/6818805
10/3/2026,13/11/2025,In her words - Telah Morrison post,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad - Backup,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7632279
9/3/2026,18/09/2025,MESHA Military Culture Training (tentative),Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7411154
3/3/2026,25/02/2025,End-of-year survey,Not Started,FF0000,ONLY PUBLISH THIS,Promotion plan,Tactical Squad,,Operations,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/6818799
17/02/2026,6/11/2025,(TENTATIVE 1) Canadian Legacy Project report launch,Not Started,FF0000,ONLY PUBLISH THIS,Promotion plan,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7601772
5/2/2026,29/08/2025,Atlas Navigator,Placeholder,FFAA00,MMC,Newsletter,Tactical Squad,,"MMC, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7361885
2/2/2026,14/11/2025,Veteran Family Summit wrap up,Placeholder,FFE900,TENTATIVE HOLD,Mailchimp,Tactical Squad,Would prefer Tuesday - ask the team,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7636600
28/01/2026,10/7/2025,Veteran Family Summit,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251817
26/01/2026,13/11/2025,In her words - Connie Uetz post,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad - Backup,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7632278
20/01/2026,28/07/2025,Last call for RCMP dialogue session,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad - Backup,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7288455
19/01/2026,10/7/2025,Veteran Family Summit,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251806
13/01/2026,10/7/2025,Veteran Family Summit,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251805
12/1/2026,26/02/2025,MHCP Launch (Tentative),Placeholder,FFE900,TENTATIVE HOLD,Blog post,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/6822755
8/1/2026,29/08/2025,Atlas Navigator,Placeholder,FFAA00,MMC,Newsletter,Tactical Squad,,"MMC, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7361883
7/1/2026,10/7/2025,Veteran Family Summit - Registration #3,Not Started,FFE900,TENTATIVE HOLD,Mailchimp,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251812
7/1/2026,10/7/2025,Veteran Family Summit,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251802
5/1/2026,13/11/2025,In her words - Guylaine Lamoureux post,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad - Backup,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7632277
2/1/2026,28/07/2025,RCMP dialogue sessions - February dates,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad - Backup,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7288453
1/1/2026,2/10/2025,Atlas Navigator,Placeholder,FFAA00,MMC,Newsletter,Tactical Squad,,"MMC, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7452871
30/12/2025,10/7/2025,Veteran Family Summit,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251798
24/12/2025,27/10/2025,Holiday campaign: NORAD,Not Started,21FF00,PUBLISH ANYTHING,Social Campaign,Tactical Squad,,"Commemoration, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556371
23/12/2025,27/10/2025,Holiday campaign: Marcia Chafe,Not Started,21FF00,PUBLISH ANYTHING,Social Campaign,Tactical Squad,,"Commemoration, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556355
22/12/2025,10/7/2025,Veteran Family Summit,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251795
19/12/2025,10/7/2025,Veteran Family Summit,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251790
19/12/2025,14/11/2025,Holiday message,Placeholder,FF0000,ONLY PUBLISH THIS,Mailchimp,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7635936
18/12/2025,27/10/2025,Holiday campaign: Coping,Not Started,21FF00,PUBLISH ANYTHING,Social Campaign,Tactical Squad,,"Commemoration, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556360
17/12/2025,13/11/2025,In her words - Shauna Mulligan post,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad - Backup,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7632276
16/12/2025,27/10/2025,Holiday campaign: Danielle Kelly ,Not Started,21FF00,PUBLISH ANYTHING,Social Campaign,Tactical Squad,,"Commemoration, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556353
15/12/2025,10/7/2025,Veteran Family Summit ,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251797
12/12/2025,27/10/2025,Holiday campaign: supporting kids,Not Started,21FF00,PUBLISH ANYTHING,Social Campaign,Tactical Squad,,"Commemoration, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556352
11/12/2025,10/7/2025,Veteran Family Summit,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251788
10/12/2025,7/11/2025,16 days of activism: IPV 2,Not Started,FFE900,TENTATIVE HOLD,Social post,Tactical Squad,,Krystle,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7606834
8/12/2025,27/10/2025,Holiday campaign: Polly's video,Not Started,21FF00,PUBLISH ANYTHING,Social Campaign,Tactical Squad,,"Commemoration, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556350
7/12/2025,7/11/2025,16 days of activism: MST coping and healing,Not Started,FFE900,TENTATIVE HOLD,Social post,Tactical Squad,,Krystle,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7606833
6/12/2025,27/10/2025,Atlas Navigator,Not Started,21FF00,PUBLISH ANYTHING,Social Campaign,Tactical Squad,,Meg,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556342
5/12/2025,30/10/2025,Veteran Family Summit,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,Day 2 speakers,Meg,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7572119
5/12/2025,30/10/2025,Veteran Family Summit,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,Day 2 speakers,Meg,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7571585
4/12/2025,27/10/2025,Holiday campaign: Holiday stress video,Not Started,21FF00,PUBLISH ANYTHING,Social Campaign,Tactical Squad,,"Commemoration, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556348
4/12/2025,29/08/2025,Atlas Navigator,Placeholder,FFAA00,MMC,Newsletter,Tactical Squad,,"MMC, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7361873
4/12/2025,4/9/2025,Atlas Navigator,Placeholder,FFAA00,MMC,Newsletter,Tactical Squad,,"MMC, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7375903
3/12/2025,7/11/2025,16 days of activism: MST health care providers,Not Started,FFE900,TENTATIVE HOLD,Social post,Tactical Squad,,Krystle,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7606828
3/12/2025,3/11/2025,Cannabis study social promo,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad - Backup,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7586666
2/12/2025,30/10/2025,Veteran Family Summit,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,Day 1 speakers,Meg,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7571787
2/12/2025,10/7/2025,Veteran Family Summit,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,Day 1 speakers,Meg,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251784
1/12/2025,13/11/2025,In her words - Sarah Lefurgey post,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad - Backup,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7632274
1/12/2025,17/10/2025,Holiday campaign: Video from Jeanette,Not Started,21FF00,PUBLISH ANYTHING,Social Campaign,Tactical Squad,,"Commemoration, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7514953
29/11/2025,7/11/2025,16 days of activism: IPV + holidays,Not Started,FFE900,TENTATIVE HOLD,Social post,Tactical Squad,,Krystle,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7606825
27/11/2025,20/11/2025,Workshop promo,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad - Backup,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7660518
27/11/2025,27/10/2025,Perspectives/MBtM Email,Not Started,FF0000,ONLY PUBLISH THIS,Mailchimp,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556058
27/11/2025,27/10/2025,MBtM Ep 33: Ryan Carey (TBI),Not Started,FFE900,TENTATIVE HOLD,Blog post,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7556053
26/11/2025,10/7/2025,Veteran Family Summit - Reminder #2,Not Started,FFE900,TENTATIVE HOLD,Mailchimp,Tactical Squad,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251808
26/11/2025,10/7/2025,Veteran Family Summit,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,Registration reminder,"Lived Experience, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7251761
26/11/2025,21/11/2025,Veteran Family Summit 2026 - November registration reminder - EN,Not Started,,,Mailchimp,,,,,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7665614
25/11/2025,7/11/2025,International Day for Prevention of Violence Against Women: What is IPV,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,"Commemoration, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7606773
25/11/2025,17/10/2025,International Day for Prevention of Violence Against Women: What is MST,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,"Commemoration, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7514941
24/11/2025,17/10/2025,Holiday campaign: Hope in hand,Not Started,FFE900,TENTATIVE HOLD,Social Campaign,Tactical Squad,,"Commemoration, Meg",,https://app.coschedule.com/calendar/413257/schedule/open/content/edit/7514945
